text,label,source
Okay.  Okay.  Hold that thought just for a second.  They only call me when it's an emergency.  Just hold that thought.  Can you call back? ,sadness,MovieDialog
I'm an idiot to have you up there. ,anger,MovieDialog
Father Perrault! I envy you. I talked to him last night. ,sadness,MovieDialog
Far as she knows you're John Gotti. Now put the shit down and act like you got some ass. ,anger,MovieDialog
The committee ruled otherwise! The gentleman stands guilty as charged. And I believe I speak for all the members when I say that no one cares to hear what a man of his condemned character has to say about *any* section of *any* legislation before this house! ,anger,MovieDialog
"I couldn't say, sir... Captain Henderson? ",sadness,MovieDialog
Gambling - I owed them a lot of money. Last week I lost over fifty thousand dollars! ,sadness,MovieDialog
"What are you talking about, it's coming?  What's coming? ",fear,MovieDialog
I'll talk to Nucky. Get you set up like the fuckin' Prince of Wales. ,anger,MovieDialog
It was nobody's fault. ,anger,MovieDialog
I don't give a shit. I work for her. No touching. ,anger,MovieDialog
"Okay, now you gone and done it. You done messed with my business bitch! ",anger,MovieDialog
"Listen, I told you I wasn't interested in that deal, didn't I? ",anger,MovieDialog
Where do we go?!  Where do we go from here??!! ,fear,MovieDialog
"Nicky, the worst thing that could happen on Earth is you get killed, in which case, boom, you end up back here. ",anger,MovieDialog
"I'm willin, to go on a little faith, here. ",sadness,MovieDialog
"Listen, that's a pentangle, a five- pointed star. It's used in witchcraft. Lon Chaney, Jr. and Universal Studios maintain it's the mark of the wolf man. ",anger,MovieDialog
Uh-huh. Till my wing[4] went bad. ,sadness,MovieDialog
Didn't know you darker people went in for foreign jobs. ,anger,MovieDialog
Where you plugged-in from? ,fear,MovieDialog
My main man! Please don't leave me here alone. My head's killing me and my adoring fans are gonna tear me apart! Get me outta here! ,fear,MovieDialog
"I'm very fucking sorry, but Greta is dead today.  Could we interest you in someone else? ",disgust,MovieDialog
How would anyone know? Even if we find it -- we can never go back. ,sadness,MovieDialog
The bitch was there. ,anger,MovieDialog
Having an encounter with a four thousand year old walking-talking corpse tends to convert one. ,sadness,MovieDialog
My mentor was an amazing teacher named Benton Mandlebaum. Died quite tragically in the collapse of a gazebo. ,sadness,MovieDialog
Why don't I feel like celebrating? ,sadness,MovieDialog
That ain't exactly been the lucky spot lately. ,sadness,MovieDialog
O'Connell! I am going to kill you for this! ,anger,MovieDialog
They always let me do anything. I don't want to pay for it.  I never paid for it in my life. ,anger,MovieDialog
"I get that. The job first. Everything else, especially me, second. I get it. I don't like it. ",sadness,MovieDialog
Why not? Maybe she'll help me. You won't. You'd better stay here. ,anger,MovieDialog
"I told you I can't, not yet. ",disgust,MovieDialog
Because my mother gave them to me. What do you care?  They're no good to you on the secondary market anyway. ,anger,MovieDialog
"Quit playin' cop and undo this cuff, Jack, I need to talk to this man. ",anger,MovieDialog
It's a damn good thing he doesn't know how much I hate his guts. ,anger,MovieDialog
I've been using since I was twelve! You're all so unbelievably stupid.  You didn't give a shit about anything I did until now! ,anger,MovieDialog
"No goodbyes, Elaine.  Just go. ",sadness,MovieDialog
Were you in jail? ,fear,MovieDialog
"Okay, you're aerated. To dump the fuel you have to close the circuit for the pump. There's no switch in Avionics so you'll have to cross the wires. There should be five wires, just to your left. Do you see them? ",fear,MovieDialog
"Look, Bobby, I don't know what happened, and I don't want to know what happened, but something's up. ",fear,MovieDialog
Doesn't it piss you off the way the when you really want to talk to somebody you can't think of anything to say! ,anger,MovieDialog
"It sounds to me like everybody's just a little jumpy. And since all it is is a drop, the Welshman's got nothing at stake. I say we go to his 'troughed off' bar. It'll calm his nerves, we drop the bag, and we all get back to our lives. ",fear,MovieDialog
... and Porter ran a piece of shit mom-and-pop mini-mart.  So what the hell's the connection? ,anger,MovieDialog
Ludwig?  He's gay - are you jealous? ,anger,MovieDialog
That's why they told you you can't go inside.  They can't have you running into her. ,anger,MovieDialog
"Oh, Christ.  Don't tell me you've changed your mind.  I already sent 'em a check. ",fear,MovieDialog
Took the words right out of my mouth. Go on... I'll be right with you.  It's our honeymoon. We're going to use the trip to get to know each other better. ,anger,MovieDialog
Bulk... why don't we give Mr. Peep here a chance to think it over? ,fear,MovieDialog
Who the fuck do you think you're talking to? This ain't a fucking democracy. You want out? ,anger,MovieDialog
Don't you like this? ,fear,MovieDialog
"God, you look like crap, George. ",fear,MovieDialog
I told 'em I'd play along with them if they lowered their prices - and cut down expenses - and broadcast. ,anger,MovieDialog
Not the fucking cop that showed up at my door! ,anger,MovieDialog
That doesn't apply to me because I'm not a criminal.  I'm not a criminal!  I wasn't convicted. ,sadness,MovieDialog
"Maybe you haven't been keeping up on current events, but we just got out asses kicked, pal! ",sadness,MovieDialog
Get my *whole* fall outfit--and quit this job in style! ,anger,MovieDialog
You know how my tapes sell.  People eat this stuff up. ,sadness,MovieDialog
"Look, man, I don't give a shit if you want sex or not, but you're payin' for my time. ",anger,MovieDialog
"You got tossed. Don't trust the cops, especially the Judicials.  Oh you know that? ",anger,MovieDialog
Oh...nothing.  Thirty pounds.  I just haven't been very hungry. ,sadness,MovieDialog
You know how to fly this thing? ,fear,MovieDialog
Would you like to walk the rest of the way? It's so nice out. ,sadness,MovieDialog
What I want to know is what happened to your cush between the time that you got up from the table and when I caught up with you in the Johnny? ,sadness,MovieDialog
You can't do jack shit... unless you learn your evil powers. ,sadness,MovieDialog
That was a terrible thing. ,sadness,MovieDialog
He's not here.  Why ask me? ,anger,MovieDialog
Did you find her? ,fear,MovieDialog
Put it back on my head. I'm falling apart here. ,sadness,MovieDialog
"What am I supposed to do?  Forget her?  Time heals all wounds, right?  She's all I think about, and I've learned to live with that.  But, you want the truth... the real truth? If I had a choice... if I had to choose, between her being out there, living a good life and being happy, and me not knowing; never finding out what happened to her...  ... or her being dead and me knowing...  I'd choose to know. ",fear,MovieDialog
"And if it isn't, why don't we call Washington on your telephone? You tell your story, we'll tell ours. ",anger,MovieDialog
"Are we talkin, about the same creature? The walking corpse? Really big mouth? Really bad breath? ",fear,MovieDialog
"<html>The sidekicks' union! Me, Tonto, and Robin the Boy Wonder. You top bananas better <u>watch your</u> <u>ass</u>! </html>",anger,MovieDialog
"When we divorce a decade ago, she was very, very angry.  Now she's just hostile. ",anger,MovieDialog
"Well, I guess I'm going to have to take a mulligan on this one. ",sadness,MovieDialog
"Women talk too much. To tell a woman not to talk is like telling Jesse James not to carry a gun or a hen not to cackle. And Samson, the strongest man that ever lived, was destroyed by the woman who slept in his arms. ",anger,MovieDialog
"But you charge. I mean, you sell tickets? ",fear,MovieDialog
"Please, get out of my mind! ",anger,MovieDialog
I used to believe that. Now I'm not so sure. ,anger,MovieDialog
"Getting a map from a chubby chef named Cookie? Dragging our asses through the swamps in search of some worm-eaten boat? That ain't a plan, that's a vacation for two in the hole. When you've got a map to New York City, you get back to me. ",anger,MovieDialog
"I lost them, that's what happened. ",sadness,MovieDialog
How?  The transmitter was on the APC.  It's wasted. ,anger,MovieDialog
[Everything on the cellphone. We wait for calls. We have no number to call.] ,sadness,MovieDialog
"Boss, we got our own tradition. We call it treatin' your friends right, and not bein' a pig for every scrap of glory. ",anger,MovieDialog
"No-- it makes sense.  Cause I gotta tell ya, when I was in third grade they told me I was crazy cause I swore that our teacher was from, like, Venus or something. ",anger,MovieDialog
But nothing... I'm mad as hell. This is a terrible thing you've done. ,anger,MovieDialog
And what'd you do to those bodyguards? They quit this morning. Said you locked them up. ,anger,MovieDialog
"Yeah, I know how you do. I know how you do. I've heard your kibbles and bits all fucking night. You've been shaking your ass like an unemployed clown. How the room's a boiling pot of sugar water. How you're gonna dip a string into it and make rockcandy. Who wants to play 'Just the tip?' Dancing around like a smacked ass. Oh, and that coat check girl you've been dragging around as 'insurance' doesn't even speak English. ",anger,MovieDialog
"I'm terribly sorry. I was just on my way down to meet you. I saw your ship dock and I knew I had plenty of time, and I was on my way out of the office when, suddenly, the phone rang. ",sadness,MovieDialog
What did you do in Asia? Is that where you met the man with cigarettes? ,fear,MovieDialog
We don't get many Sandmen. I think we've only had one other since I've been here. ,sadness,MovieDialog
What difference does that make? ,sadness,MovieDialog
"You understand what I'm saying? I want a deer, a dead one, not a cripple or whatthefuck. ",anger,MovieDialog
Hope their plumbing's the same. ,sadness,MovieDialog
"No, but I'm broke. I'm always broke. I don't know why. ",sadness,MovieDialog
What a jerk -- and like nobody knows who he really is! ,anger,MovieDialog
That's awful. The poor woman should be taken care of immediately. ,sadness,MovieDialog
And it stinks to high heaven in here. ,anger,MovieDialog
"No, I don't think you were a fool, I just think you were stupid about it.  I mean, to say the least, you outta know better.  You don't know her well enough. She's got the potential to fucking hang you even if she suggests that you made a pass at her, it's fuckin' over.  You can deny it all you want, but it will not make one fucking bit of difference. You're dead. ",anger,MovieDialog
"Yes, something's very wrong, Dr. Mumford. ",sadness,MovieDialog
"Wouldn't happen to be the Lincoln Memorial, would it? ",sadness,MovieDialog
"All right, all right. Keep quiet. ",anger,MovieDialog
"Oh, you're not so badly off. There's something much worse than being a misunderstood wife. ",sadness,MovieDialog
Oh shut up. I'm sick to death of that tune. ,anger,MovieDialog
"That's enough, Holloway.  I've told you before, wearing boards on your shoulders, and parading with a stiff spine doesn't auto- matically endow you with back- bone - ! ",anger,MovieDialog
You didn't have to embarrass me in front of my colleagues.  You could give me something. ,sadness,MovieDialog
The kid just called me stupid. ,anger,MovieDialog
"He's an imbecile.  I tried to warn my daughter, but what can you do? ",fear,MovieDialog
Burke!  Open the door! ,anger,MovieDialog
"I'm sorry Danny, but I'll have to give you the full tour later on. ",sadness,MovieDialog
I haven't worn this damn thing in years.  I just wanted to make sure it fits before tonight. ,sadness,MovieDialog
Wade. I thought she was alright. Till this morning she was. ,sadness,MovieDialog
Don't mess with me. How much? ,anger,MovieDialog
So she cleaned up.  Where is she now? ,fear,MovieDialog
I counted on you to help my cause. You and that thug are obviously failing. Aren't we ever going on our date? ,anger,MovieDialog
Then -- why don't you leave me -- go to them -- explain ,sadness,MovieDialog
You didn't come to me because you have a rich imagination. ,sadness,MovieDialog
"Okay, you win. I'm pissed off. I'm seriously peeved. ",anger,MovieDialog
I can't write it! ,sadness,MovieDialog
"Oh, quiet, quiet, quiet.  Say, tell me something did you read that speech you're gonna make tonight? ",sadness,MovieDialog
"Is there any truth to what he's saying, Pike? ",fear,MovieDialog
What did you do with Captain Amazing? ,fear,MovieDialog
Look at this.  You have blood on your shirt.  Whose is it? ,fear,MovieDialog
"I don't care about myself, my wife and four children were sleeping in their beds, they have nothing to do with this. ",anger,MovieDialog
I'm tired of always playing the cops. I wanna be Bogart sometimes. ,sadness,MovieDialog
Don't worry about the damn phone.  I won't answer it. ,anger,MovieDialog
"Don't tell me, 'cause I'm not going to tell you what I've got. ",anger,MovieDialog
Three reasons... One: As part of The Elite Special Forces Unit of the Federated Army you are an expert in the use of all weapons and spacecraft needed for this mission. ,happiness,MovieDialog
No you're not.  You don't even care about being a mom.  How come you don't think about me? ,sadness,MovieDialog
I've been wrong a lot in my life. ,sadness,MovieDialog
How much longer we gotta be shut up in this fuckin' sweatbox? ,anger,MovieDialog
That's a fine chick. ,happiness,MovieDialog
It wasn't a school like yours and there was no Sister Anna. ,sadness,MovieDialog
"None too discreet, is he? ",disgust,MovieDialog
Babe ought to get him drunk again. ,happiness,MovieDialog
This is all my fault. ,sadness,MovieDialog
"Fine... Holly will get you ready. You're in good hands, believe me. ",happiness,MovieDialog
THAT DOES IT! BACK IN THE PACK! ,anger,MovieDialog
"Wha--? Yes, sweetheart-- Wha--? ",fear,MovieDialog
"Well, how about tonight? What would you like in the way of entertainment? ",happiness,MovieDialog
"One-third? That's about $7,000,000 isn't it? ",happiness,MovieDialog
"This is a good deal here, Marty. ",happiness,MovieDialog
Amazing there's someone within two hundred miles actually dumb enough to still do that. ,happiness,MovieDialog
"And put them out.  Some not as quickly as others, but let's change the subject, shall we?  The future is much more interesting than the past.  Don't you think? ",happiness,MovieDialog
"Forgive me, please. What a gracious thought. We must do that. ",happiness,MovieDialog
Don't you at least have a back door I can use? ,anger,MovieDialog
Now we'll see what this son of a bitch is up to. ,anger,MovieDialog
Don't you realize your words could be considered heretical? ,fear,MovieDialog
"No, it isn't, Lamar.  There was nothing anyone could do. ",sadness,MovieDialog
"Of course, The Slaughtered Lamb. Why else would they have a severed wolf's head on a spear as their symbol? ",anger,MovieDialog
"I did, Claude. I mentioned you. I mentioned you both. But the fact is, pardons don't come cheap. The kid can hit. What can you do? ",anger,MovieDialog
"I remember clearly cause when I heard I became real careful around Pop. I was a careful child and I became a careful adult, but at least I wasn't afflicted by that man's violence. ",sadness,MovieDialog
Are you ready to put him in? ,fear,MovieDialog
"Therapy? Hell no, I just don't want to do it alone. ",fear,MovieDialog
I don't know. I had to duck to get the story out. He was so far along he never even missed me. ,sadness,MovieDialog
I was in the laundromat. I saw your car. Thought I'd say hi. ,happiness,MovieDialog
"Yes, and on 'dictis'. ",happiness,MovieDialog
That watch was the only thing my daddy ever gave me. It meant the world to me. ,happiness,MovieDialog
And the nuts always call themselves great. ,disgust,MovieDialog
"Ricky, who knows how long we're gonna have to be here. We gotta make it last. ",anger,MovieDialog
What do I care about Arthur! Did you see this stuff in the paper? How'd it get in there? What'd you do last night? Who were you talking to? ,anger,MovieDialog
Yes.  My psychiatrist didn't insist that I stay on my medication. ,sadness,MovieDialog
"A thumb? What do you mean, like cut it off? For ten bucks?  That include the tip? ",fear,MovieDialog
What'd you do to her? ,fear,MovieDialog
This ain't a credit business. ,anger,MovieDialog
I hope this prick doesn't run.  My knees are killing me.  Stay behind me. ,anger,MovieDialog
New worlds create new people. ,happiness,MovieDialog
Why do you ask? ,sadness,MovieDialog
Why do you ask? ,anger,MovieDialog
"No, thanks, man. We got to head out. ",happiness,MovieDialog
-- you can sit up and look at me if you'd like --  -- maybe it would be helpful if you told me a little about what brought you here. ,fear,MovieDialog
"Well, to tell the truth, they really didn't fill me in on many of the details. Just told me to pick up Captain Kramer. ",sadness,MovieDialog
"They can't, huh?  Who do you think writes 'em? My Aunt Emma? I know she writes them. ",anger,MovieDialog
"Look, Mr. Connell . . . I just can't afford to be without work right now, not even for a day. I've got a mother and two kid sisters to . . . ",sadness,MovieDialog
Jessica... listen to me... listen to me...  The Lifeclocks made me kill Francis. They make people die or be killed every day. If I didn't try and destroy that... I couldn't live here or anywhere. Do you understand? ,anger,MovieDialog
It's a bedroom where a man is always at his peak and doesn't have to take any time outs. ,sadness,MovieDialog
"Look, you know why, you just don't believe me. ",anger,MovieDialog
"Saving a lady in distress, eh? Well, I suppose we all have dreams like that when we are young.  Incidentally, we'd better get started. You'll have to pack. ",sadness,MovieDialog
"Be patient, Ted. No one expects you to get over this immediately. ",anger,MovieDialog
"Perhaps it would be even more serious than that, Your Majesty. His European confederation is held together by some very slender threads.  Your Majesty knows even better than I that Austria and Prussia are very doubtful allies, and the Emperor has reason enough to fear that they will turn on him, at the first sign of weakness. ",fear,MovieDialog
"No offense, boss, but they might find you a little disgusting. ",disgust,MovieDialog
"Oh man, you shoulda come with us last night, Marty. That one for you was a real lunatic. How'd you make out? ",happiness,MovieDialog
"The next time you're in wild country like this, keep in touch with the British Consul. ",fear,MovieDialog
"The black capsule. Finest kind. Thank you, Dr. McIntyre. ",happiness,MovieDialog
Wow - two guys in the same brain. - Which one did you fall in love with? ,happiness,MovieDialog
"Death, I'm trying to make things right. Take my soul. Turn me into a paper doll. But give me just one lousy hour. ",sadness,MovieDialog
"No, not yet, Senator Paine--not hide nor hair of the man. You mean to say the boys haven't--? ",sadness,MovieDialog
I can promise you complete privacy. ,happiness,MovieDialog
"Tell me, Walter, are all those stories I hear about my uncle true? ",sadness,MovieDialog
"There's nothing that would suit them better than to lose us, but we must go on.  Come on. ",fear,MovieDialog
No one will believe us. ,sadness,MovieDialog
I think it's fantastic. ,happiness,MovieDialog
I guess I lost: ,sadness,MovieDialog
